run_accession	study_accession	experiment_alias	fastq_ftp
SRR20011305	PRJNA856341	W24_PP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/005/SRR20011305/SRR20011305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/005/SRR20011305/SRR20011305_2.fastq.gz
SRR20011306	PRJNA856341	W0_PP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/006/SRR20011306/SRR20011306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/006/SRR20011306/SRR20011306_2.fastq.gz
SRR20011307	PRJNA856341	W24_PP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/007/SRR20011307/SRR20011307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/007/SRR20011307/SRR20011307_2.fastq.gz
SRR20011312	PRJNA856341	W24_PV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/012/SRR20011312/SRR20011312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/012/SRR20011312/SRR20011312_2.fastq.gz
SRR20011320	PRJNA856341	W12_PV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/020/SRR20011320/SRR20011320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/020/SRR20011320/SRR20011320_2.fastq.gz
SRR20011321	PRJNA856341	W12_PV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/021/SRR20011321/SRR20011321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/021/SRR20011321/SRR20011321_2.fastq.gz
SRR20011322	PRJNA856341	W0_PP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/022/SRR20011322/SRR20011322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/022/SRR20011322/SRR20011322_2.fastq.gz
SRR20011324	PRJNA856341	W12_NTC7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/024/SRR20011324/SRR20011324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/024/SRR20011324/SRR20011324_2.fastq.gz
SRR20011326	PRJNA856341	W12_NTC5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/026/SRR20011326/SRR20011326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/026/SRR20011326/SRR20011326_2.fastq.gz
SRR20011329	PRJNA856341	W12_NTC2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/029/SRR20011329/SRR20011329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/029/SRR20011329/SRR20011329_2.fastq.gz
SRR20011330	PRJNA856341	W12_NTC1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/030/SRR20011330/SRR20011330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/030/SRR20011330/SRR20011330_2.fastq.gz
SRR20011331	PRJNA856341	W8_SP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/031/SRR20011331/SRR20011331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/031/SRR20011331/SRR20011331_2.fastq.gz
SRR20011332	PRJNA856341	W8_SP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/032/SRR20011332/SRR20011332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/032/SRR20011332/SRR20011332_2.fastq.gz
SRR20011333	PRJNA856341	W0_PV7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/033/SRR20011333/SRR20011333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/033/SRR20011333/SRR20011333_2.fastq.gz
SRR20011336	PRJNA856341	W8_SP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/036/SRR20011336/SRR20011336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/036/SRR20011336/SRR20011336_2.fastq.gz
SRR20011341	PRJNA856341	W8_SV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/041/SRR20011341/SRR20011341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/041/SRR20011341/SRR20011341_2.fastq.gz
SRR20011342	PRJNA856341	W8_SV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/042/SRR20011342/SRR20011342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/042/SRR20011342/SRR20011342_2.fastq.gz
SRR20011343	PRJNA856341	W8_SV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/043/SRR20011343/SRR20011343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/043/SRR20011343/SRR20011343_2.fastq.gz
SRR20011346	PRJNA856341	W8_PP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/046/SRR20011346/SRR20011346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/046/SRR20011346/SRR20011346_2.fastq.gz
SRR20011349	PRJNA856341	W8_PP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/049/SRR20011349/SRR20011349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/049/SRR20011349/SRR20011349_2.fastq.gz
SRR20011350	PRJNA856341	W8_PP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/050/SRR20011350/SRR20011350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/050/SRR20011350/SRR20011350_2.fastq.gz
SRR20011351	PRJNA856341	W8_PP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/051/SRR20011351/SRR20011351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/051/SRR20011351/SRR20011351_2.fastq.gz
SRR20011354	PRJNA856341	W8_PV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/054/SRR20011354/SRR20011354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/054/SRR20011354/SRR20011354_2.fastq.gz
SRR20011356	PRJNA856341	W8_PV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/056/SRR20011356/SRR20011356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/056/SRR20011356/SRR20011356_2.fastq.gz
SRR20011359	PRJNA856341	W8_PV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/059/SRR20011359/SRR20011359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/059/SRR20011359/SRR20011359_2.fastq.gz
SRR20011365	PRJNA856341	W8_NTC2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/065/SRR20011365/SRR20011365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/065/SRR20011365/SRR20011365_2.fastq.gz
SRR20011366	PRJNA856341	W0_PV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/066/SRR20011366/SRR20011366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/066/SRR20011366/SRR20011366_2.fastq.gz
SRR20011174	PRJNA856341	W4_SP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/074/SRR20011174/SRR20011174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/074/SRR20011174/SRR20011174_2.fastq.gz
SRR20011181	PRJNA856341	W0_PV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/081/SRR20011181/SRR20011181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/081/SRR20011181/SRR20011181_2.fastq.gz
SRR20011182	PRJNA856341	W4_SV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/082/SRR20011182/SRR20011182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/082/SRR20011182/SRR20011182_2.fastq.gz
SRR20011183	PRJNA856341	W4_SV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/083/SRR20011183/SRR20011183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/083/SRR20011183/SRR20011183_2.fastq.gz
SRR20011184	PRJNA856341	W4_SV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/084/SRR20011184/SRR20011184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/084/SRR20011184/SRR20011184_2.fastq.gz
SRR20011187	PRJNA856341	W4_PP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/087/SRR20011187/SRR20011187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/087/SRR20011187/SRR20011187_2.fastq.gz
SRR20011188	PRJNA856341	W4_PP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/088/SRR20011188/SRR20011188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/088/SRR20011188/SRR20011188_2.fastq.gz
SRR20011190	PRJNA856341	W4_PP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/090/SRR20011190/SRR20011190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/090/SRR20011190/SRR20011190_2.fastq.gz
SRR20011195	PRJNA856341	W4_PV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/095/SRR20011195/SRR20011195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/095/SRR20011195/SRR20011195_2.fastq.gz
SRR20011196	PRJNA856341	W4_PV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/096/SRR20011196/SRR20011196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/096/SRR20011196/SRR20011196_2.fastq.gz
SRR20011197	PRJNA856341	W4_PV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/097/SRR20011197/SRR20011197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/097/SRR20011197/SRR20011197_2.fastq.gz
SRR20011202	PRJNA856341	W4_NTC5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/002/SRR20011202/SRR20011202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/002/SRR20011202/SRR20011202_2.fastq.gz
SRR20011203	PRJNA856341	W0_PV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/003/SRR20011203/SRR20011203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/003/SRR20011203/SRR20011203_2.fastq.gz
SRR20011207	PRJNA856341	W4_NTC1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/007/SRR20011207/SRR20011207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/007/SRR20011207/SRR20011207_2.fastq.gz
SRR20011208	PRJNA856341	W2_SP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/008/SRR20011208/SRR20011208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/008/SRR20011208/SRR20011208_2.fastq.gz
SRR20011214	PRJNA856341	W0_NTC7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/014/SRR20011214/SRR20011214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/014/SRR20011214/SRR20011214_2.fastq.gz
SRR20011215	PRJNA856341	W2_SV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/015/SRR20011215/SRR20011215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/015/SRR20011215/SRR20011215_2.fastq.gz
SRR20011218	PRJNA856341	W2_SV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/018/SRR20011218/SRR20011218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/018/SRR20011218/SRR20011218_2.fastq.gz
SRR20011222	PRJNA856341	W2_PP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/022/SRR20011222/SRR20011222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/022/SRR20011222/SRR20011222_2.fastq.gz
SRR20011229	PRJNA856341	W2_PV7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/029/SRR20011229/SRR20011229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/029/SRR20011229/SRR20011229_2.fastq.gz
SRR20011230	PRJNA856341	W2_PV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/030/SRR20011230/SRR20011230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/030/SRR20011230/SRR20011230_2.fastq.gz
SRR20011231	PRJNA856341	W2_PV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/031/SRR20011231/SRR20011231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/031/SRR20011231/SRR20011231_2.fastq.gz
SRR20011232	PRJNA856341	W2_PV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/032/SRR20011232/SRR20011232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/032/SRR20011232/SRR20011232_2.fastq.gz
SRR20011235	PRJNA856341	W2_PV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/035/SRR20011235/SRR20011235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/035/SRR20011235/SRR20011235_2.fastq.gz
SRR20011236	PRJNA856341	W0_NTC5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/036/SRR20011236/SRR20011236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/036/SRR20011236/SRR20011236_2.fastq.gz
SRR20011238	PRJNA856341	W2_NTC6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/038/SRR20011238/SRR20011238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/038/SRR20011238/SRR20011238_2.fastq.gz
SRR20011239	PRJNA856341	W2_NTC5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/039/SRR20011239/SRR20011239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/039/SRR20011239/SRR20011239_2.fastq.gz
SRR20011240	PRJNA856341	W2_NTC4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/040/SRR20011240/SRR20011240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/040/SRR20011240/SRR20011240_2.fastq.gz
SRR20011245	PRJNA856341	W0_SP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/045/SRR20011245/SRR20011245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/045/SRR20011245/SRR20011245_2.fastq.gz
SRR20011246	PRJNA856341	W0_SP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/046/SRR20011246/SRR20011246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/046/SRR20011246/SRR20011246_2.fastq.gz
SRR20011247	PRJNA856341	W0_NTC4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/047/SRR20011247/SRR20011247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/047/SRR20011247/SRR20011247_2.fastq.gz
SRR20011249	PRJNA856341	W0_SP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/049/SRR20011249/SRR20011249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/049/SRR20011249/SRR20011249_2.fastq.gz
SRR20011252	PRJNA856341	W0_SV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/052/SRR20011252/SRR20011252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/052/SRR20011252/SRR20011252_2.fastq.gz
SRR20011257	PRJNA856341	W24_PV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/057/SRR20011257/SRR20011257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/057/SRR20011257/SRR20011257_2.fastq.gz
SRR20011258	PRJNA856341	W24_PV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/058/SRR20011258/SRR20011258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/058/SRR20011258/SRR20011258_2.fastq.gz
SRR20011259	PRJNA856341	W24_NTC7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/059/SRR20011259/SRR20011259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/059/SRR20011259/SRR20011259_2.fastq.gz
SRR20011263	PRJNA856341	W24_NTC4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/063/SRR20011263/SRR20011263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/063/SRR20011263/SRR20011263_2.fastq.gz
SRR20011266	PRJNA856341	W24_NTC1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/066/SRR20011266/SRR20011266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/066/SRR20011266/SRR20011266_2.fastq.gz
SRR20011268	PRJNA856341	W12_SP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/068/SRR20011268/SRR20011268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/068/SRR20011268/SRR20011268_2.fastq.gz
SRR20011272	PRJNA856341	W0_PP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/072/SRR20011272/SRR20011272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/072/SRR20011272/SRR20011272_2.fastq.gz
SRR20011276	PRJNA856341	W12_SV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/076/SRR20011276/SRR20011276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/076/SRR20011276/SRR20011276_2.fastq.gz
SRR20011280	PRJNA856341	W12_PP7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/080/SRR20011280/SRR20011280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/080/SRR20011280/SRR20011280_2.fastq.gz
SRR20011281	PRJNA856341	W12_PP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/081/SRR20011281/SRR20011281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/081/SRR20011281/SRR20011281_2.fastq.gz
SRR20011282	PRJNA856341	W12_PP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/082/SRR20011282/SRR20011282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/082/SRR20011282/SRR20011282_2.fastq.gz
SRR20011283	PRJNA856341	W0_PP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/083/SRR20011283/SRR20011283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/083/SRR20011283/SRR20011283_2.fastq.gz
SRR20011284	PRJNA856341	W12_PP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/084/SRR20011284/SRR20011284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/084/SRR20011284/SRR20011284_2.fastq.gz
SRR20011285	PRJNA856341	W0_PP7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/085/SRR20011285/SRR20011285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/085/SRR20011285/SRR20011285_2.fastq.gz
SRR20011286	PRJNA856341	W0_NTC3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/086/SRR20011286/SRR20011286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/086/SRR20011286/SRR20011286_2.fastq.gz
SRR20011291	PRJNA856341	W24_SP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/091/SRR20011291/SRR20011291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/091/SRR20011291/SRR20011291_2.fastq.gz
SRR20011294	PRJNA856341	W24_SV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/094/SRR20011294/SRR20011294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/094/SRR20011294/SRR20011294_2.fastq.gz
SRR20011302	PRJNA856341	W24_PP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/002/SRR20011302/SRR20011302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/002/SRR20011302/SRR20011302_2.fastq.gz
SRR20011308	PRJNA856341	W24_PV7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/008/SRR20011308/SRR20011308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/008/SRR20011308/SRR20011308_2.fastq.gz
SRR20011310	PRJNA856341	W24_PV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/010/SRR20011310/SRR20011310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/010/SRR20011310/SRR20011310_2.fastq.gz
SRR20011313	PRJNA856341	W12_PP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/013/SRR20011313/SRR20011313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/013/SRR20011313/SRR20011313_2.fastq.gz
SRR20011314	PRJNA856341	W12_PP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/014/SRR20011314/SRR20011314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/014/SRR20011314/SRR20011314_2.fastq.gz
SRR20011315	PRJNA856341	W12_PP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/015/SRR20011315/SRR20011315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/015/SRR20011315/SRR20011315_2.fastq.gz
SRR20011316	PRJNA856341	W12_PV7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/016/SRR20011316/SRR20011316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/016/SRR20011316/SRR20011316_2.fastq.gz
SRR20011317	PRJNA856341	W12_PV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/017/SRR20011317/SRR20011317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/017/SRR20011317/SRR20011317_2.fastq.gz
SRR20011323	PRJNA856341	W12_PV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/023/SRR20011323/SRR20011323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/023/SRR20011323/SRR20011323_2.fastq.gz
SRR20011325	PRJNA856341	W12_NTC6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/025/SRR20011325/SRR20011325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/025/SRR20011325/SRR20011325_2.fastq.gz
SRR20011327	PRJNA856341	W12_NTC4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/027/SRR20011327/SRR20011327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/027/SRR20011327/SRR20011327_2.fastq.gz
SRR20011328	PRJNA856341	W12_NTC3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/028/SRR20011328/SRR20011328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/028/SRR20011328/SRR20011328_2.fastq.gz
SRR20011334	PRJNA856341	W8_SP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/034/SRR20011334/SRR20011334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/034/SRR20011334/SRR20011334_2.fastq.gz
SRR20011335	PRJNA856341	W8_SP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/035/SRR20011335/SRR20011335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/035/SRR20011335/SRR20011335_2.fastq.gz
SRR20011337	PRJNA856341	W8_SP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/037/SRR20011337/SRR20011337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/037/SRR20011337/SRR20011337_2.fastq.gz
SRR20011344	PRJNA856341	W0_PV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/044/SRR20011344/SRR20011344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/044/SRR20011344/SRR20011344_2.fastq.gz
SRR20011347	PRJNA856341	W8_PP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/047/SRR20011347/SRR20011347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/047/SRR20011347/SRR20011347_2.fastq.gz
SRR20011348	PRJNA856341	W8_PP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/048/SRR20011348/SRR20011348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/048/SRR20011348/SRR20011348_2.fastq.gz
SRR20011357	PRJNA856341	W8_PV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/057/SRR20011357/SRR20011357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/057/SRR20011357/SRR20011357_2.fastq.gz
SRR20011360	PRJNA856341	W8_NTC7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/060/SRR20011360/SRR20011360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/060/SRR20011360/SRR20011360_2.fastq.gz
SRR20011362	PRJNA856341	W8_NTC5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/062/SRR20011362/SRR20011362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/062/SRR20011362/SRR20011362_2.fastq.gz
SRR20011363	PRJNA856341	W8_NTC4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/063/SRR20011363/SRR20011363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/063/SRR20011363/SRR20011363_2.fastq.gz
SRR20011368	PRJNA856341	W0_NTC1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/068/SRR20011368/SRR20011368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/068/SRR20011368/SRR20011368_2.fastq.gz
