run_accession	study_accession	experiment_alias	fastq_ftp
SRR20011227	PRJNA856341	W2_PP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/027/SRR20011227/SRR20011227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/027/SRR20011227/SRR20011227_2.fastq.gz
SRR20011233	PRJNA856341	W2_PV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/033/SRR20011233/SRR20011233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/033/SRR20011233/SRR20011233_2.fastq.gz
SRR20011234	PRJNA856341	W2_PV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/034/SRR20011234/SRR20011234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/034/SRR20011234/SRR20011234_2.fastq.gz
SRR20011242	PRJNA856341	W2_NTC2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/042/SRR20011242/SRR20011242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/042/SRR20011242/SRR20011242_2.fastq.gz
SRR20011243	PRJNA856341	W2_NTC1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/043/SRR20011243/SRR20011243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/043/SRR20011243/SRR20011243_2.fastq.gz
SRR20011248	PRJNA856341	W0_SP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/048/SRR20011248/SRR20011248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/048/SRR20011248/SRR20011248_2.fastq.gz
SRR20011254	PRJNA856341	W0_SV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/054/SRR20011254/SRR20011254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/054/SRR20011254/SRR20011254_2.fastq.gz
SRR20011256	PRJNA856341	W0_SV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/056/SRR20011256/SRR20011256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/056/SRR20011256/SRR20011256_2.fastq.gz
SRR20011269	PRJNA856341	W12_SP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/069/SRR20011269/SRR20011269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/069/SRR20011269/SRR20011269_2.fastq.gz
SRR20011270	PRJNA856341	W12_SP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/070/SRR20011270/SRR20011270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/070/SRR20011270/SRR20011270_2.fastq.gz
SRR20011271	PRJNA856341	W12_SP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/071/SRR20011271/SRR20011271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/071/SRR20011271/SRR20011271_2.fastq.gz
SRR20011273	PRJNA856341	W12_SP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/073/SRR20011273/SRR20011273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/073/SRR20011273/SRR20011273_2.fastq.gz
SRR20011274	PRJNA856341	W12_SV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/074/SRR20011274/SRR20011274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/074/SRR20011274/SRR20011274_2.fastq.gz
SRR20011275	PRJNA856341	W12_SV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/075/SRR20011275/SRR20011275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/075/SRR20011275/SRR20011275_2.fastq.gz
SRR20011278	PRJNA856341	W12_SV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/078/SRR20011278/SRR20011278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/078/SRR20011278/SRR20011278_2.fastq.gz
SRR20011289	PRJNA856341	W24_SP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/089/SRR20011289/SRR20011289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/089/SRR20011289/SRR20011289_2.fastq.gz
SRR20011290	PRJNA856341	W24_SP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/090/SRR20011290/SRR20011290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/090/SRR20011290/SRR20011290_2.fastq.gz
SRR20011297	PRJNA856341	W24_SV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/097/SRR20011297/SRR20011297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/097/SRR20011297/SRR20011297_2.fastq.gz
SRR20011298	PRJNA856341	W24_SV2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/098/SRR20011298/SRR20011298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/098/SRR20011298/SRR20011298_2.fastq.gz
SRR20011299	PRJNA856341	W24_SV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/099/SRR20011299/SRR20011299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/099/SRR20011299/SRR20011299_2.fastq.gz
SRR20011300	PRJNA856341	W24_PP7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/000/SRR20011300/SRR20011300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/000/SRR20011300/SRR20011300_2.fastq.gz
SRR20011303	PRJNA856341	W24_PP4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/003/SRR20011303/SRR20011303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/003/SRR20011303/SRR20011303_2.fastq.gz
SRR20011304	PRJNA856341	W24_PP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/004/SRR20011304/SRR20011304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/004/SRR20011304/SRR20011304_2.fastq.gz
SRR20011309	PRJNA856341	W24_PV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/009/SRR20011309/SRR20011309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/009/SRR20011309/SRR20011309_2.fastq.gz
SRR20011175	PRJNA856341	W4_SP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/075/SRR20011175/SRR20011175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/075/SRR20011175/SRR20011175_2.fastq.gz
SRR20011311	PRJNA856341	W24_PV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/011/SRR20011311/SRR20011311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/011/SRR20011311/SRR20011311_2.fastq.gz
